rating_id,user_id,movie_id,rating,timestamp
6,1,19994,3,2024-04-03T14:56:59
12,1,354912,3,2024-05-16T20:59:43
10,1,1202479,3,2024-06-21T04:34:08
24,1,1138194,4,2024-07-21T04:31:49
1,1,581,4,2024-07-24T21:59:54
20,1,133805,5,2024-07-25T18:46:48
22,1,824,4,2024-08-01T19:03:18
26,1,1255674,1,2024-09-26T23:25:23
16,1,10607,2,2025-02-01T06:14:47
9,1,44826,3,2025-02-28T19:19:19
4,1,744275,5,2025-05-12T06:48:34
7,1,10060,4,2025-05-17T03:38:17
19,1,1738,4,2025-05-27T02:25:07
15,1,1531626,4,2025-07-04T16:40:05
25,1,110742,3,2025-07-25T06:22:48
18,1,1273221,1,2025-08-13T12:14:52
13,1,15472,4,2025-08-20T23:16:23
3,1,201088,1,2025-09-18T02:10:22
2,1,766,3,2025-10-24T22:24:34
14,1,1386827,4,2025-12-09T23:42:22
8,1,912726,4,2025-12-22T16:18:43
23,1,44729,5,2026-01-01T14:11:56
11,1,70345,3,2026-01-06T17:36:16
5,1,360784,3,2026-02-01T21:01:28
21,1,39538,4,2026-02-28T12:30:29
17,1,36593,4,2026-04-03T13:37:28
47,2,166428,4,2024-01-06T12:19:20
58,2,92393,1,2024-03-29T15:27:16
44,2,770906,3,2024-05-08T16:21:41
35,2,1291559,4,2024-05-12T22:34:49
48,2,9741,4,2024-06-06T11:14:14
42,2,72559,4,2024-06-10T18:14:33
28,2,60304,3,2024-07-08T15:12:05
60,2,13027,4,2024-07-31T16:28:53
62,2,131634,4,2024-08-02T04:31:29
46,2,645788,3,2024-09-10T11:14:55
53,2,444996,4,2024-09-22T17:56:48
29,2,2502,5,2024-10-13T21:45:08
34,2,931285,1,2024-11-20T13:34:10
41,2,122,5,2024-11-24T16:41:50
31,2,1562,4,2024-12-26T17:52:45
38,2,1228891,5,2025-01-15T12:24:24
39,2,694,5,2025-01-16T21:17:30
57,2,533514,5,2025-01-19T11:04:52
37,2,1049082,4,2025-04-06T15:43:33
40,2,617,4,2025-04-14T16:24:54
51,2,39205,5,2025-04-19T17:54:31
63,2,1278853,2,2025-06-03T23:28:27
33,2,32657,5,2025-07-14T10:44:27
49,2,346910,3,2025-07-22T15:32:08
54,2,9477,4,2025-07-28T01:47:52
61,2,1584215,3,2025-09-15T19:36:30
27,2,8961,5,2025-09-27T12:28:45
45,2,400136,4,2025-10-10T12:03:45
56,2,862,5,2025-10-14T15:49:50
30,2,1114967,4,2025-11-25T14:38:05
32,2,9619,4,2025-11-25T20:03:18
50,2,11891,3,2025-11-29T11:11:54
55,2,752,3,2026-01-09T20:57:02
43,2,1427,4,2026-01-25T22:52:01
52,2,395,3,2026-01-31T02:43:10
59,2,10423,5,2026-03-11T02:54:03
36,2,4584,3,2026-04-23T08:49:10
77,3,1007734,5,2024-03-01T09:38:25
65,3,9404,2,2024-04-08T15:50:48
79,3,517093,4,2024-05-27T22:48:12
82,3,205775,2,2024-07-17T16:35:41
72,3,1078023,3,2024-08-10T03:22:11
93,3,724495,2,2024-10-11T11:35:33
78,3,47002,4,2024-11-17T10:47:31
91,3,302401,5,2024-12-24T07:11:57
88,3,76758,4,2025-01-16T19:45:22
70,3,1493020,3,2025-01-24T22:57:11
74,3,10428,4,2025-01-30T04:28:23
83,3,1481126,5,2025-04-25T19:48:31
81,3,967,4,2025-04-26T08:56:35
87,3,12289,3,2025-05-11T17:51:23
68,3,423,5,2025-05-24T17:46:34
69,3,9800,4,2025-06-05T16:52:37
73,3,2253,3,2025-07-07T17:21:44
64,3,22538,3,2025-07-15T12:25:06
86,3,273248,5,2025-08-23T07:01:01
66,3,335,4,2025-08-24T17:13:18
90,3,207,3,2025-08-26T20:29:58
76,3,2024,3,2025-09-07T20:33:38
80,3,17917,2,2025-09-13T16:05:17
92,3,8741,4,2025-12-05T07:35:01
75,3,1351046,4,2025-12-13T14:36:25
89,3,2057,4,2025-12-26T03:16:17
71,3,507076,4,2026-01-09T16:21:28
67,3,1103437,2,2026-03-02T13:52:22
84,3,74997,4,2026-03-23T06:14:34
85,3,228150,3,2026-04-14T01:55:28
101,4,1252428,5,2024-01-01T10:58:48
105,4,9595,3,2024-01-05T19:50:15
98,4,1056444,3,2024-05-01T06:05:47
117,4,1946,4,2024-05-07T16:27:56
119,4,24428,5,2024-07-19T04:44:53
108,4,585245,5,2024-10-03T07:25:57
102,4,278154,5,2024-10-15T12:37:15
120,4,1280282,5,2024-10-16T14:53:22
123,4,19576,3,2024-10-31T07:34:04
114,4,913001,4,2025-01-12T08:30:06
115,4,9804,5,2025-01-15T01:15:38
110,4,463821,4,2025-01-17T19:13:28
118,4,296918,4,2025-01-26T04:54:12
128,4,4349,3,2025-02-10T06:59:19
103,4,9885,4,2025-02-12T03:54:01
107,4,653346,4,2025-03-26T22:52:19
99,4,504110,1,2025-04-03T10:02:35
96,4,639933,4,2025-04-06T14:02:05
100,4,157353,3,2025-05-03T07:28:09
122,4,458723,4,2025-05-18T15:27:51
121,4,447273,2,2025-06-13T16:37:56
111,4,110420,5,2025-06-30T09:41:03
124,4,9620,3,2025-07-21T17:30:43
112,4,603,4,2025-08-04T13:02:48
97,4,400136,5,2025-08-07T15:14:14
127,4,9374,4,2025-09-17T19:29:01
126,4,1495,4,2025-10-04T12:17:41
125,4,64682,4,2025-10-09T16:14:54
94,4,1290879,3,2025-10-22T01:08:33
113,4,569947,3,2025-11-09T15:49:40
106,4,1280450,4,2025-11-21T17:12:32
116,4,13207,3,2025-12-11T07:12:17
95,4,1357633,3,2026-02-26T23:27:57
109,4,126889,3,2026-03-01T01:18:35
104,4,1451398,2,2026-05-01T21:51:26
141,5,573730,5,2024-01-11T05:23:19
131,5,414906,5,2024-01-18T00:36:11
136,5,411,4,2024-02-03T01:01:21
135,5,447332,5,2024-05-01T07:24:48
142,5,447365,5,2024-06-15T07:36:53
149,5,214,5,2024-09-29T23:53:20
132,5,1597,4,2024-10-14T23:46:58
134,5,9276,3,2024-11-19T19:34:22
145,5,1290159,4,2024-11-29T06:12:25
148,5,838209,2,2025-01-25T20:40:03
143,5,10774,3,2025-02-06T06:54:41
139,5,700,3,2025-03-22T16:25:28
144,5,58857,5,2025-05-07T04:27:22
146,5,9732,4,2025-05-14T13:15:17
130,5,9477,4,2025-06-18T13:22:56
129,5,29817,4,2025-06-25T22:02:23
147,5,458897,4,2025-07-18T20:24:42
138,5,910371,4,2025-10-06T02:09:00
140,5,241863,4,2025-12-02T14:14:44
137,5,1304313,1,2025-12-18T14:38:49
133,5,524,3,2026-04-03T20:34:23
163,6,381284,5,2024-01-13T20:01:15
177,6,17809,4,2024-02-19T08:24:31
158,6,1209290,3,2024-02-20T01:02:05
155,6,1321179,4,2024-02-28T11:50:54
165,6,663712,3,2024-04-04T12:00:39
171,6,105825,4,2024-06-06T10:53:57
180,6,44399,2,2024-06-12T22:15:16
168,6,783,4,2024-06-14T23:59:09
170,6,572154,5,2024-06-23T01:12:24
